Pair ID,FRUS_ID,Cables_ID,FRUS Link,Cables Link,SUBJECT,OTHER,COSINE,VERIFIED MATCH,TF_IDF_SCORE,PAIR_IN_OLD_MATCHES,Notes,Initial
38,frus1977-80v29d79,1977STATE287622,history-lab.org/documents/frus1977-80v29d79,history-lab.org/documents/1977STATE287622,,,Yes,No Match,0.754336,No,,aw
39,frus1969-76v31d55,1974ROME16915,history-lab.org/documents/frus1969-76v31d55,history-lab.org/documents/1974ROME16915,,,Yes,No Match,0.754374,No,,aw
40,frus1977-80v16d104,1979USUNN00831,history-lab.org/documents/frus1977-80v16d104,history-lab.org/documents/1979USUNN00831,,,Yes,Match,0.754449,No,,aw
41,frus1977-80v26d237,1978GENEVA11095,history-lab.org/documents/frus1977-80v26d237,history-lab.org/documents/1978GENEVA11095,,,Yes,No Match,0.754457,No,,aw
42,frus1977-80v26d226,1979GENEVA10572,history-lab.org/documents/frus1977-80v26d226,history-lab.org/documents/1979GENEVA10572,,,Yes,No Match,0.754542,No,,aw
43,frus1969-76ve08d102,1978COLOMB04843,history-lab.org/documents/frus1969-76ve08d102,history-lab.org/documents/1978COLOMB04843,,,Yes,No Match,0.754585,No,,aw
44,frus1977-80v29d77,1977STATE192559,history-lab.org/documents/frus1977-80v29d77,history-lab.org/documents/1977STATE192559,,,Yes,No Match,0.754772,No,,aw
45,frus1969-76v30d209,1974STATE191254,history-lab.org/documents/frus1969-76v30d209,history-lab.org/documents/1974STATE191254,,,Yes,Partial Match,0.754779,No,,aw
46,frus1977-80v02d155,1978STATE226448_2,history-lab.org/documents/frus1977-80v02d155,history-lab.org/documents/1978STATE226448_2,,,Yes,No Match,0.754844,No,,aw
47,frus1977-80v08d113,1979STATE256801,history-lab.org/documents/frus1977-80v08d113,history-lab.org/documents/1979STATE256801,,,Yes,No Match,0.754962,No,,aw
48,frus1969-76v37d174,1977STATE297279,history-lab.org/documents/frus1969-76v37d174,history-lab.org/documents/1977STATE297279,,,Yes,No Match,0.754992,No,,aw
49,frus1969-76ve08d185,1974STATE268984,history-lab.org/documents/frus1969-76ve08d185,history-lab.org/documents/1974STATE268984,Yes,,Yes,Match,0.755056,Yes,,aw
50,frus1969-76v33d241,1977GENEVA08590,history-lab.org/documents/frus1969-76v33d241,history-lab.org/documents/1977GENEVA08590,,,Yes,No Match,0.755085,No,,aw
51,frus1977-80v16d76,1977PRETOR06637,history-lab.org/documents/frus1977-80v16d76,history-lab.org/documents/1977PRETOR06637,,,Yes,Partial Match,0.755223,No,,aw
52,frus1969-76ve14p2d95,1975GENEVA03588,history-lab.org/documents/frus1969-76ve14p2d95,history-lab.org/documents/1975GENEVA03588,,,Yes,No Match,0.75526,No,,aw
53,frus1977-80v01d67,1977STATE192559,history-lab.org/documents/frus1977-80v01d67,history-lab.org/documents/1977STATE192559,,,Yes,No Match,0.755316,No,,aw
54,frus1977-80v29d3,1977STATE192559,history-lab.org/documents/frus1977-80v29d3,history-lab.org/documents/1977STATE192559,,,Yes,No Match,0.75537,No,,aw
55,frus1969-76ve11p2d334,1973MONTEV01176,history-lab.org/documents/frus1969-76ve11p2d334,history-lab.org/documents/1973MONTEV01176,,,Yes,Partial Match,0.755397,No,,aw
56,frus1977-80v06d240,1979STATE323581,history-lab.org/documents/frus1977-80v06d240,history-lab.org/documents/1979STATE323581,Yes,,Yes,Match,0.755472,No,,aw
57,frus1977-80v20d256,1979STATE041828,history-lab.org/documents/frus1977-80v20d256,history-lab.org/documents/1979STATE041828,,,Yes,No Match,0.755527,No,,aw
58,frus1977-80v28d228,1979CANBER10247,history-lab.org/documents/frus1977-80v28d228,history-lab.org/documents/1979CANBER10247,,,Yes,Partial Match,0.75561,No,,aw
59,frus1969-76v22d13,1977STATE192559,history-lab.org/documents/frus1969-76v22d13,history-lab.org/documents/1977STATE192559,,,Yes,No Match,0.755845,No,,aw
60,frus1977-80v26d226,1979GENEVA05811,history-lab.org/documents/frus1977-80v26d226,history-lab.org/documents/1979GENEVA05811,,,Yes,No Match,0.755925,No,,aw
61,frus1969-76v31d61,1974ROME16915,history-lab.org/documents/frus1969-76v31d61,history-lab.org/documents/1974ROME16915,,,Yes,No Match,0.755948,No,,aw
62,frus1977-80v29d3,1975PANAMA04248,history-lab.org/documents/frus1977-80v29d3,history-lab.org/documents/1975PANAMA04248,,,Yes,No Match,0.75597,No,,aw
63,frus1969-76ve08d209,1975STATE202508,history-lab.org/documents/frus1969-76ve08d209,history-lab.org/documents/1975STATE202508,,,Yes,Partial Match,0.756249,No,,aw
64,frus1969-76ve08d40,1975STATE026227,history-lab.org/documents/frus1969-76ve08d40,history-lab.org/documents/1975STATE026227,Yes,,Yes,Match,0.756706,Yes,,aw
65,frus1977-80v08d250,1978TELAV06620,history-lab.org/documents/frus1977-80v08d250,history-lab.org/documents/1978TELAV06620,,,Yes,Match,0.756836,No,,aw
66,frus1977-80v08d279,1978TELAV02566,history-lab.org/documents/frus1977-80v08d279,history-lab.org/documents/1978TELAV02566,,,Yes,No Match,0.756849,No,,aw
67,frus1977-80v02d162,1978STATE188597,history-lab.org/documents/frus1977-80v02d162,history-lab.org/documents/1978STATE188597,,,Yes,No Match,0.757186,No,,aw
68,frus1977-80v08d279,1978JERUSA02129,history-lab.org/documents/frus1977-80v08d279,history-lab.org/documents/1978JERUSA02129,,,Yes,No Match,0.757281,No,,aw
69,frus1969-76v21d332,1977STATE007716,history-lab.org/documents/frus1969-76v21d332,history-lab.org/documents/1977STATE007716,,,Yes,No Match,0.757404,No,,aw
70,frus1969-76v31d55,1974LUXEMB00817,history-lab.org/documents/frus1969-76v31d55,history-lab.org/documents/1974LUXEMB00817,,,Yes,No Match,0.757687,No,,aw
71,frus1969-76ve11p2d136,1976STATE183401,history-lab.org/documents/frus1969-76ve11p2d136,history-lab.org/documents/1976STATE183401,Yes,,Yes,Match,0.757738,Yes,,aw
72,frus1977-80v08d262,1978STATE176291,history-lab.org/documents/frus1977-80v08d262,history-lab.org/documents/1978STATE176291,Yes,,Yes,Match,0.757904,Yes,,aw
73,frus1977-80v26d54,1979VIENNA05609,history-lab.org/documents/frus1977-80v26d54,history-lab.org/documents/1979VIENNA05609,,,Yes,No Match,0.75792,No,,aw
74,frus1969-76v28d237,1977STATE003465,history-lab.org/documents/frus1969-76v28d237,history-lab.org/documents/1977STATE003465,,,Yes,No Match,0.758015,No,,aw
75,frus1969-76ve08d99,1979USUNN04323,history-lab.org/documents/frus1969-76ve08d99,history-lab.org/documents/1979USUNN04323,,,Yes,Partial Match,0.75808,No,,aw
76,frus1977-80v18d7,1977STATE220667,history-lab.org/documents/frus1977-80v18d7,history-lab.org/documents/1977STATE220667,,,Yes,Match,0.758171,No,,aw
77,frus1969-76v31d55,1975PRETOR00967,history-lab.org/documents/frus1969-76v31d55,history-lab.org/documents/1975PRETOR00967,,,Yes,No Match,0.758176,No,,aw
78,frus1977-80v20d256,1979BELGRA01152,history-lab.org/documents/frus1977-80v20d256,history-lab.org/documents/1979BELGRA01152,,,Yes,No Match,0.758196,No,,aw
79,frus1969-76v37d130,1977STATE264258,history-lab.org/documents/frus1969-76v37d130,history-lab.org/documents/1977STATE264258,,,Yes,No Match,0.75846,No,,aw
80,frus1977-80v26d237,1979GENEVA16355,history-lab.org/documents/frus1977-80v26d237,history-lab.org/documents/1979GENEVA16355,,,Yes,No Match,0.758477,No,,aw
81,frus1977-80v13d183,1979STATE002588,history-lab.org/documents/frus1977-80v13d183,history-lab.org/documents/1979STATE002588,,,Yes,No Match,0.758516,No,,aw
82,frus1969-76ve11p1d232,1977GUATEM03480,history-lab.org/documents/frus1969-76ve11p1d232,history-lab.org/documents/1977GUATEM03480,,,Yes,No Match,0.758768,No,,aw
83,frus1969-76ve15p2d285,1975STATE105818,history-lab.org/documents/frus1969-76ve15p2d285,history-lab.org/documents/1975STATE105818,,,Yes,Partial Match,0.75877,No,,aw
84,frus1977-80v26d237,1979GENEVA19578,history-lab.org/documents/frus1977-80v26d237,history-lab.org/documents/1979GENEVA19578,,,Yes,No Match,0.758854,No,,aw
85,frus1969-76ve08d99,1978USUNN03915,history-lab.org/documents/frus1969-76ve08d99,history-lab.org/documents/1978USUNN03915,,,Yes,Partial Match,0.758855,No,,aw
86,frus1977-80v01d67,1977STATE191313,history-lab.org/documents/frus1977-80v01d67,history-lab.org/documents/1977STATE191313,,,Yes,No Match,0.759016,No,,aw
87,frus1969-76ve08d102,1977COLOMB01481,history-lab.org/documents/frus1969-76ve08d102,history-lab.org/documents/1977COLOMB01481,,,Yes,No Match,0.75902,No,,aw
88,frus1977-80v29d79,1974PANAMA06409,history-lab.org/documents/frus1977-80v29d79,history-lab.org/documents/1974PANAMA06409,,,Yes,No Match,0.759056,No,,aw
89,frus1977-80v26d237,1979GENEVA09587,history-lab.org/documents/frus1977-80v26d237,history-lab.org/documents/1979GENEVA09587,,,Yes,No Match,0.759171,No,,aw
90,frus1969-76ve11p1d354,1976SANTO01245,history-lab.org/documents/frus1969-76ve11p1d354,history-lab.org/documents/1976SANTO01245,Yes,,Yes,Match,0.759322,No,,aw
91,frus1977-80v29d77,1977STATE189613,history-lab.org/documents/frus1977-80v29d77,history-lab.org/documents/1977STATE189613,,,Yes,No Match,0.759327,No,,aw
92,frus1977-80v26d237,1978GENEVA10313,history-lab.org/documents/frus1977-80v26d237,history-lab.org/documents/1978GENEVA10313,,,Yes,No Match,0.759364,No,,aw
93,frus1977-80v20d265,1979BELGRA04053,history-lab.org/documents/frus1977-80v20d265,history-lab.org/documents/1979BELGRA04053,Yes,,Yes,Match,0.759439,No,,aw
94,frus1969-76v31d61,1975PRETOR00967,history-lab.org/documents/frus1969-76v31d61,history-lab.org/documents/1975PRETOR00967,,,Yes,No Match,0.759507,No,,aw
95,frus1969-76ve08d258,1973NEWDE04129,history-lab.org/documents/frus1969-76ve08d258,history-lab.org/documents/1973NEWDE04129,,,Yes,No Match,0.759563,No,,aw
96,frus1977-80v08d224,1978TELAV02566,history-lab.org/documents/frus1977-80v08d224,history-lab.org/documents/1978TELAV02566,,,Yes,No Match,0.759618,No,,aw
97,frus1977-80v20d136,1978BUDAPE01496,history-lab.org/documents/frus1977-80v20d136,history-lab.org/documents/1978BUDAPE01496,,,Yes,No Match,0.759651,No,,aw
98,frus1969-76v37d124,1977STATE130415,history-lab.org/documents/frus1969-76v37d124,history-lab.org/documents/1977STATE130415,Yes,,Yes,Match,0.7597,Yes,,aw
99,frus1969-76ve15p1d90,1976USBERL00164,history-lab.org/documents/frus1969-76ve15p1d90,history-lab.org/documents/1976USBERL00164,,,Yes,No Match,0.75991,No,,aw
100,frus1969-76v37d64,1975SECTO02020,history-lab.org/documents/frus1969-76v37d64,history-lab.org/documents/1975SECTO02020,,,Yes,Partial Match,0.760319,No,,aw
101,frus1977-80v26d241,1979GENEVA09583,history-lab.org/documents/frus1977-80v26d241,history-lab.org/documents/1979GENEVA09583,,,Yes,No Match,0.760476,No,,aw
102,frus1977-80v02d73,1977BELGRA08514,history-lab.org/documents/frus1977-80v02d73,history-lab.org/documents/1977BELGRA08514,,,Yes,No Match,0.760503,No,,aw
103,frus1977-80v02d60,1977COLOMB03114,history-lab.org/documents/frus1977-80v02d60,history-lab.org/documents/1977COLOMB03114,,,Yes,No Match,0.760504,No,,aw
104,frus1969-76ve09p1d45,1975STATE179817,history-lab.org/documents/frus1969-76ve09p1d45,history-lab.org/documents/1975STATE179817,,,Yes,No Match,0.760669,No,,aw
105,frus1969-76v33d19,1974SALTT00096,history-lab.org/documents/frus1969-76v33d19,history-lab.org/documents/1974SALTT00096,,,Yes,No Match,0.760739,No,,aw
106,frus1969-76v27d48,1973STATE249539,history-lab.org/documents/frus1969-76v27d48,history-lab.org/documents/1973STATE249539,Yes,,Yes,Match,0.760802,Yes,,aw
107,frus1977-80v08d197,1977STATE307373,history-lab.org/documents/frus1977-80v08d197,history-lab.org/documents/1977STATE307373,,,Yes,Partial Match,0.760902,No,,aw
108,frus1977-80v26d32,1978STATE157353,history-lab.org/documents/frus1977-80v26d32,history-lab.org/documents/1978STATE157353,,,Yes,No Match,0.760903,No,,aw
109,frus1977-80v20d85,1977SOFIA01630,history-lab.org/documents/frus1977-80v20d85,history-lab.org/documents/1977SOFIA01630,Yes,,Yes,Match,0.760954,No,,aw
110,frus1969-76ve11p2d382,1974STATE145988,history-lab.org/documents/frus1969-76ve11p2d382,history-lab.org/documents/1974STATE145988,Yes,,Yes,No Match,0.760971,No,,aw
111,frus1969-76ve08d161,1974STATE104508,history-lab.org/documents/frus1969-76ve08d161,history-lab.org/documents/1974STATE104508,,,Yes,Match,0.761047,Yes,DUPLICATE,aw
112,frus1969-76v31d61,1973LONDON13568,history-lab.org/documents/frus1969-76v31d61,history-lab.org/documents/1973LONDON13568,,,Yes,No Match,0.761133,No,,aw
113,frus1977-80v21d52,1978STATE279886,history-lab.org/documents/frus1977-80v21d52,history-lab.org/documents/1978STATE279886,,,Yes,No Match,0.761164,No,,aw
114,frus1977-80v26d32,1978HELSIN01811,history-lab.org/documents/frus1977-80v26d32,history-lab.org/documents/1978HELSIN01811,,,Yes,No Match,0.761215,No,,aw
115,frus1977-80v02d29,1978STATE188597,history-lab.org/documents/frus1977-80v02d29,history-lab.org/documents/1978STATE188597,,,Yes,No Match,0.761271,No,,aw
116,frus1977-80v02d26,1977STATE062223,history-lab.org/documents/frus1977-80v02d26,history-lab.org/documents/1977STATE062223,Yes,,Yes,Match,0.761369,Yes,,aw
117,frus1977-80v08d247,1978STATE125076,history-lab.org/documents/frus1977-80v08d247,history-lab.org/documents/1978STATE125076,Yes,,Yes,Match,0.761569,Yes,,aw
118,frus1969-76ve08d161,1974NEWDE06591,history-lab.org/documents/frus1969-76ve08d161,history-lab.org/documents/1974NEWDE06591,,,Yes,Match,0.761618,Yes,DUPLICATE -- perhaps use of unquote a hint,aw
119,frus1977-80v06d85,1978STATE054252,history-lab.org/documents/frus1977-80v06d85,history-lab.org/documents/1978STATE054252,,,Yes,Partial Match,0.761658,No,,aw
120,frus1977-80v26d33,1978HELSIN01834,history-lab.org/documents/frus1977-80v26d33,history-lab.org/documents/1978HELSIN01834,,,Yes,No Match,0.761812,No,,aw
121,frus1977-80v26d446,1978VIENNA07052,history-lab.org/documents/frus1977-80v26d446,history-lab.org/documents/1978VIENNA07052,,,Yes,No Match,0.761856,No,,aw
122,frus1977-80v02d139,1977STATE178449,history-lab.org/documents/frus1977-80v02d139,history-lab.org/documents/1977STATE178449,,,Yes,No Match,0.76194,No,,aw
123,frus1969-76v22d110,1976STATE014080,history-lab.org/documents/frus1969-76v22d110,history-lab.org/documents/1976STATE014080,Yes,,Yes,Match,0.762128,No,,aw
124,frus1969-76v31d86,1979BERN03384,history-lab.org/documents/frus1969-76v31d86,history-lab.org/documents/1979BERN03384,,,Yes,No Match,0.762139,No,,aw
125,frus1969-76v27d300,1976TEHRAN07872,history-lab.org/documents/frus1969-76v27d300,history-lab.org/documents/1976TEHRAN07872,,,Yes,No Match,0.762259,No,,aw
126,frus1977-80v08d249,1978STATE035470,history-lab.org/documents/frus1977-80v08d249,history-lab.org/documents/1978STATE035470,,,Yes,No Match,0.76243,No,,aw
127,frus1977-80v03d90,1978STATE015081,history-lab.org/documents/frus1977-80v03d90,history-lab.org/documents/1978STATE015081,,,Yes,No Match,0.762664,No,,aw
128,frus1977-80v29d27,1977GUATEM01691,history-lab.org/documents/frus1977-80v29d27,history-lab.org/documents/1977GUATEM01691,,,Yes,Partial Match,0.762702,No,,aw
129,frus1969-76ve08d90,1978USUNN00558,history-lab.org/documents/frus1969-76ve08d90,history-lab.org/documents/1978USUNN00558,,,Yes,No Match,0.762742,No,,aw
130,frus1969-76ve14p2d95,1976STATE231682,history-lab.org/documents/frus1969-76ve14p2d95,history-lab.org/documents/1976STATE231682,,,Yes,No Match,0.762835,No,,aw
131,frus1977-80v26d33,1978STATE157398,history-lab.org/documents/frus1977-80v26d33,history-lab.org/documents/1978STATE157398,,,Yes,No Match,0.763025,No,,aw
132,frus1969-76ve15p2d190,1974OSLO04418,history-lab.org/documents/frus1969-76ve15p2d190,history-lab.org/documents/1974OSLO04418,,,Yes,No Match,0.763169,No,,aw
133,frus1977-80v21d104,1977SECTO12026,history-lab.org/documents/frus1977-80v21d104,history-lab.org/documents/1977SECTO12026,,,Yes,No Match,0.763453,No,,aw
134,frus1977-80v20d150,1978BUDAPE01496,history-lab.org/documents/frus1977-80v20d150,history-lab.org/documents/1978BUDAPE01496,,,Yes,No Match,0.763715,No,,aw
135,frus1969-76ve16d145,1979STATE186502,history-lab.org/documents/frus1969-76ve16d145,history-lab.org/documents/1979STATE186502,,,Yes,No Match,0.763931,No,,aw
136,frus1977-80v26d226,1979GENEVA11146,history-lab.org/documents/frus1977-80v26d226,history-lab.org/documents/1979GENEVA11146,,,Yes,No Match,0.763957,No,,aw
137,frus1969-76ve14p2d95,1977STATE266905,history-lab.org/documents/frus1969-76ve14p2d95,history-lab.org/documents/1977STATE266905,,,Yes,No Match,0.76401,No,,aw
138,frus1969-76ve14p2d95,1977USUNN04299,history-lab.org/documents/frus1969-76ve14p2d95,history-lab.org/documents/1977USUNN04299,,,Yes,No Match,0.764068,No,,aw
139,frus1969-76ve06d223,1974STATE139020,history-lab.org/documents/frus1969-76ve06d223,history-lab.org/documents/1974STATE139020,,,Yes,Partial Match,0.764084,Yes,,aw
140,frus1977-80v16d152,1977STATE104966,history-lab.org/documents/frus1977-80v16d152,history-lab.org/documents/1977STATE104966,,,Yes,Partial Match,0.764212,No,,aw
141,frus1977-80v21d87,1977STATE035397,history-lab.org/documents/frus1977-80v21d87,history-lab.org/documents/1977STATE035397,,,Yes,Match,0.76438,No,,aw
142,frus1969-76ve15p2d125,1973STATE203571,history-lab.org/documents/frus1969-76ve15p2d125,history-lab.org/documents/1973STATE203571,Yes,,Yes,Match,0.764415,Yes,,aw
143,frus1977-80v29d77,1977STATE189639,history-lab.org/documents/frus1977-80v29d77,history-lab.org/documents/1977STATE189639,,,Yes,No Match,0.764433,No,,aw
144,frus1977-80v26d226,1979GENEVA11004,history-lab.org/documents/frus1977-80v26d226,history-lab.org/documents/1979GENEVA11004,,,Yes,No Match,0.764576,No,,aw
145,frus1977-80v26d226,1979GENEVA15854,history-lab.org/documents/frus1977-80v26d226,history-lab.org/documents/1979GENEVA15854,,,Yes,No Match,0.764806,No,,aw
146,frus1969-76v37d196,1979STATE084259,history-lab.org/documents/frus1969-76v37d196,history-lab.org/documents/1979STATE084259,,,Yes,Match,0.765179,No,,aw
147,frus1977-80v18d5,1977STATE061525,history-lab.org/documents/frus1977-80v18d5,history-lab.org/documents/1977STATE061525,,,Yes,No Match,0.765323,No,,aw
148,frus1969-76v22d13,1977STATE189639,history-lab.org/documents/frus1969-76v22d13,history-lab.org/documents/1977STATE189639,,,Yes,No Match,0.765611,No,,aw
149,frus1977-80v02d81,1977STATE178449,history-lab.org/documents/frus1977-80v02d81,history-lab.org/documents/1977STATE178449,,,Yes,No Match,0.765657,No,,aw
150,frus1977-80v06d1,1977STATE020929,history-lab.org/documents/frus1977-80v06d1,history-lab.org/documents/1977STATE020929,,,Yes,Match,0.765676,No,,mm
151,frus1969-76ve08d209,1975STATE183099,history-lab.org/documents/frus1969-76ve08d209,history-lab.org/documents/1975STATE183099,,,Yes,Match,0.765967,No,,mm
152,frus1969-76ve14p2d187,1976MOSCOW05682,history-lab.org/documents/frus1969-76ve14p2d187,history-lab.org/documents/1976MOSCOW05682,Yes,,Yes,Partial Match,0.766067,No,,JD
153,frus1969-76v31d86,1974TOKYO02909,history-lab.org/documents/frus1969-76v31d86,history-lab.org/documents/1974TOKYO02909,,,Yes,No Match,0.766214,No,,mm
154,frus1969-76v33d241,1975SALTT00067,history-lab.org/documents/frus1969-76v33d241,history-lab.org/documents/1975SALTT00067,,,Yes,No Match,0.766257,No,Some sentences convey the same message but they do not match overall,mm
155,frus1977-80v02d60,1978PORTO02419,history-lab.org/documents/frus1977-80v02d60,history-lab.org/documents/1978PORTO02419,,,Yes,No Match,0.766322,No,,mm
156,frus1977-80v26d241,1979GENEVA18021,history-lab.org/documents/frus1977-80v26d241,history-lab.org/documents/1979GENEVA18021,,,Yes,No Match,0.766347,No,,mm
157,frus1969-76ve16d156,1973SANTIA04462,history-lab.org/documents/frus1969-76ve16d156,history-lab.org/documents/1973SANTIA04462,,,Yes,Partial Match,0.766441,No,,mm
158,frus1977-80v29d236,1979STATE167433,history-lab.org/documents/frus1977-80v29d236,history-lab.org/documents/1979STATE167433,Yes,,Yes,Match,0.766516,No,,mm
159,frus1977-80v21d104,1977STATE294649,history-lab.org/documents/frus1977-80v21d104,history-lab.org/documents/1977STATE294649,,,Yes,No Match,0.766744,No,,mm
160,frus1969-76v31d61,1974LUXEMB00817,history-lab.org/documents/frus1969-76v31d61,history-lab.org/documents/1974LUXEMB00817,,,Yes,No Match,0.766764,No,,mm
161,frus1969-76ve11p1d273,1973STATE043380,history-lab.org/documents/frus1969-76ve11p1d273,history-lab.org/documents/1973STATE043380,,,Yes,Match,0.76677,No,,mm
162,frus1977-80v26d237,1979GENEVA03200,history-lab.org/documents/frus1977-80v26d237,history-lab.org/documents/1979GENEVA03200,,,Yes,No Match,0.767094,No,,mm
163,frus1969-76ve11p1d213,1975STATE260729,history-lab.org/documents/frus1969-76ve11p1d213,history-lab.org/documents/1975STATE260729,Yes,,Yes,Match,0.76712,No,,mm
